學校名稱,印尼外國學位生人數,寮國外國學位生人數,新加坡外國學位生人數,柬埔寨外國學位生人數,汶萊外國學位生人數,泰國外國學位生人數,緬甸外國學位生,菲律賓外國學位生,越南外國學位生,馬來西亞外國學位生,印尼僑生,寮國僑生,新加坡僑生,柬埔寨僑生,汶萊僑生,泰國僑生,緬甸僑生,菲律賓僑生,越南僑生,馬來西亞僑生,合計
龍華科技大學,12,0,0,0,0,1,0,0,923,20,110,0,1,17,0,32,10,6,542,44,"1,718"
明新科技大學,72,0,0,1,0,1,0,278,"1,035",1,28,0,0,5,0,9,33,7,49,32,"1,551"
國立臺灣大學,183,1,18,3,1,93,13,40,70,90,235,0,5,0,1,44,53,10,57,599,"1,516"
銘傳大學,143,1,1,0,0,94,2,9,347,247,96,0,1,0,0,7,3,0,16,269,"1,236"
正修科技大學,105,0,3,0,0,4,0,62,37,3,382,0,0,12,0,46,22,0,475,62,"1,213"
健行科技大學,64,0,0,0,0,15,0,0,"1,016",6,33,0,0,0,0,0,1,0,64,8,"1,207"
國立成功大學,226,0,2,1,0,87,7,24,155,58,150,0,3,0,0,19,23,1,18,402,"1,176"
崑山科技大學,16,0,0,0,0,1,2,302,354,16,197,0,0,3,0,1,2,26,88,29,"1,037"
東南科技大學,0,0,0,0,0,0,0,0,597,7,32,0,0,0,0,0,64,5,241,58,"1,004"
國立清華大學,223,0,2,0,0,87,6,36,172,37,123,0,0,0,0,13,25,5,9,216,954
醒吾科技大學,27,0,0,0,0,9,0,4,695,0,165,0,0,0,0,0,7,0,7,29,943
國立臺灣師大僑生先修部,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,1,611,5,71,94,909
國立臺灣科技大學,440,0,1,1,0,73,7,20,123,10,121,0,2,0,0,1,25,2,7,60,893
國立臺灣師範大學,60,1,11,0,0,42,5,18,119,29,98,0,0,0,0,12,128,2,27,257,809
萬能科技大學,10,0,0,0,0,47,0,0,425,117,53,0,0,0,0,7,7,0,119,16,801
黎明技術學院,1,0,0,0,0,1,1,1,563,14,20,0,0,2,0,5,25,2,133,25,793
臺北城市科技大學,1,0,0,0,0,6,0,1,676,4,13,0,0,0,0,2,10,2,11,26,752
朝陽科技大學,119,0,0,0,0,4,2,1,501,34,36,0,0,0,0,1,1,0,0,27,726
義守大學,201,0,2,0,0,118,0,31,192,75,35,0,1,0,0,0,0,0,1,51,707
淡江大學,226,0,1,2,0,53,0,5,60,25,187,0,0,1,0,1,4,3,12,107,687
國立政治大學,60,0,9,0,0,77,0,18,48,58,56,0,4,0,0,16,27,4,27,275,679
德明財經科技大學,27,0,0,0,0,0,0,0,595,0,2,0,0,0,0,0,1,0,9,1,635
國立陽明交通大學,98,0,0,0,0,29,5,22,96,37,70,0,5,0,0,12,16,1,7,226,624
國立勤益科技大學,141,0,0,0,0,3,0,0,362,1,32,0,0,1,0,1,11,3,11,19,585
景文科技大學,0,0,0,0,0,0,0,0,504,3,4,0,0,0,0,1,3,0,27,34,576
中原大學,196,1,0,0,0,8,0,36,73,25,73,0,2,0,0,3,0,2,7,118,544
樹德科技大學,35,0,0,0,0,0,0,74,31,32,161,0,0,1,0,0,22,0,77,103,536
經國管理暨健康學院,107,0,0,0,0,48,0,0,226,2,147,0,0,0,0,0,0,0,0,2,532
國立東華大學,132,0,1,0,0,43,3,8,78,9,89,0,3,0,0,0,2,1,2,154,525
國立臺北科技大學,73,0,1,0,0,51,1,3,110,14,99,0,1,0,0,9,42,1,15,93,513
東海大學,260,0,1,1,0,17,3,6,38,41,67,0,0,0,0,2,0,0,4,63,503
吳鳳科技大學,4,0,0,0,0,1,0,0,260,0,5,0,0,0,0,0,1,0,205,12,488
國立臺灣海洋大學,50,0,0,0,0,7,0,11,26,15,153,0,0,0,0,2,17,2,3,194,480
中國文化大學,76,0,2,0,0,25,6,6,53,135,51,0,1,0,0,1,2,0,2,104,464
高苑科技大學,112,0,0,0,0,0,2,53,216,3,55,0,0,0,0,0,0,0,6,0,447
逢甲大學,95,0,0,0,0,57,2,3,48,56,28,0,1,0,0,3,2,2,7,137,441
國立高雄科技大學,32,0,0,1,0,4,0,16,198,3,76,0,1,0,0,3,0,2,9,87,432
國立中興大學,65,0,1,0,0,33,6,15,56,21,77,0,2,0,0,0,4,0,8,125,413
靜宜大學,65,0,0,0,0,19,0,8,156,111,13,0,0,0,0,1,5,0,4,31,413
國立中央大學,150,0,0,0,0,9,2,12,130,9,24,0,1,0,0,4,12,1,5,53,412
南開科技大學,1,0,0,0,0,1,0,0,295,18,20,0,0,0,0,0,0,1,4,58,398
國立暨南國際大學,8,0,0,0,0,1,40,1,22,3,128,0,0,1,0,2,15,0,5,172,398
修平科技大學,18,0,0,0,0,1,0,0,319,7,16,0,0,9,0,0,1,0,26,,397
臺北醫學大學,118,0,3,0,1,16,8,7,113,9,8,0,1,1,0,2,5,0,6,91,389
嘉南藥理大學,2,0,0,1,0,4,0,0,359,0,2,0,0,0,0,0,0,0,0,7,375
元智大學,62,0,0,0,0,69,5,16,169,9,12,0,0,0,0,0,0,4,3,11,360
輔仁大學,37,0,0,0,1,11,1,7,58,44,45,0,1,0,0,1,6,0,7,126,345
弘光科技大學,2,0,0,0,0,1,0,0,14,51,30,0,0,0,2,6,2,4,10,211,333
國立臺北大學,13,0,0,1,0,20,0,8,23,0,38,0,2,0,1,6,86,1,17,116,332
國立中山大學,38,0,2,1,0,22,2,26,44,8,53,0,1,0,0,8,3,0,7,113,328
中華大學,10,0,0,0,0,3,3,36,136,122,2,0,0,0,0,0,1,0,4,9,326
開南大學,7,1,0,1,0,6,0,4,255,0,1,0,0,0,0,1,0,0,21,4,301
輔英科技大學,0,0,0,0,0,0,0,0,116,0,51,0,0,1,0,5,7,0,56,27,263
國立屏東科技大學,51,0,3,0,1,13,0,1,28,27,13,0,0,0,0,0,1,0,0,124,262
國立高雄餐旅大學,58,0,0,0,0,9,0,7,21,27,65,0,1,0,0,4,8,0,3,59,262
國立雲林科技大學,81,0,2,0,0,12,0,2,19,19,31,0,0,0,0,0,4,0,4,87,261
實踐大學,37,0,0,0,0,8,1,1,33,31,58,0,0,0,0,0,7,0,4,72,252
元培醫事科技大學,3,0,0,0,0,2,0,0,198,11,24,0,0,0,0,0,0,0,5,6,249
中國醫藥大學,21,0,1,0,0,9,1,3,31,20,11,0,11,0,0,3,13,3,3,106,236
南臺科技大學,32,0,0,1,0,6,0,27,79,48,10,0,0,0,0,0,0,0,3,29,235
真理大學,6,0,0,1,0,6,0,0,110,11,17,0,0,0,0,0,0,0,3,78,232
致理科技大學,0,0,0,0,0,2,0,0,212,1,7,0,0,0,0,2,0,0,4,2,230
國立中正大學,14,0,1,2,0,6,0,5,44,9,40,0,1,0,0,2,4,0,4,89,221
僑光科技大學,1,0,0,0,0,0,0,95,10,44,45,0,0,0,0,6,0,0,9,10,220
育達科技大學,0,0,0,0,0,0,0,1,217,1,0,0,0,0,0,0,1,0,0,0,220
中國科技大學,18,0,0,0,0,0,0,0,121,53,3,0,0,0,0,0,2,0,3,19,219
世新大學,2,0,9,0,0,3,0,0,9,71,6,0,1,0,0,1,2,0,2,107,213
國立彰化師範大學,17,0,1,0,0,1,0,0,15,20,16,0,0,0,0,1,0,1,3,132,207
中華科技大學,0,0,1,0,0,0,53,0,126,5,2,0,0,0,0,0,1,0,12,2,202
台北海洋科技大學,9,0,0,0,0,0,0,171,0,1,7,0,0,0,0,0,1,0,0,13,202
敏實科技大學,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,1,202
宏國德霖科技大學,0,0,0,0,0,0,0,0,167,1,5,0,0,0,0,0,1,0,1,24,199
建國科技大學,24,0,0,0,0,0,4,0,155,3,5,1,0,0,0,0,1,2,0,4,199
國立臺中科技大學,0,0,0,0,0,1,0,0,14,4,91,0,1,0,0,8,6,0,13,59,197
