"死亡人數","死亡人數","男","女","死亡人口性比例","粗死亡率"
"109年 (1~10月)/ 區域別總計",143807,84253,59554,141.47,6.10
"109年 (1~10月)/ 新北市",20243,11923,8320,143.31,5.03
"109年 (1~10月)/ 臺北市",14343,7931,6412,123.69,5.46
"109年 (1~10月)/ 桃園市",10974,6705,4269,157.06,4.86
"109年 (1~10月)/ 臺中市",14519,8540,5979,142.83,5.16
"109年 (1~10月)/ 臺南市",12726,7328,5398,135.75,6.77
"109年 (1~10月)/ 高雄市",18033,10685,7348,145.41,6.51
"109年 (1~10月)/ 宜蘭縣",3211,1875,1336,140.34,7.08
"109年 (1~10月)/ 新竹縣",3210,1885,1325,142.26,5.66
"109年 (1~10月)/ 苗栗縣",4130,2409,1721,139.98,7.59
"109年 (1~10月)/ 彰化縣",8650,5038,3612,139.48,6.81
"109年 (1~10月)/ 南投縣",3930,2287,1643,139.20,7.97
"109年 (1~10月)/ 雲林縣",5948,3462,2486,139.26,8.75
"109年 (1~10月)/ 嘉義縣",4508,2598,1910,136.02,8.99
"109年 (1~10月)/ 屏東縣",6944,4248,2696,157.57,8.51
"109年 (1~10月)/ 臺東縣",1912,1173,739,158.73,8.85
"109年 (1~10月)/ 花蓮縣",2657,1594,1063,149.95,8.16
"109年 (1~10月)/ 澎湖縣",792,457,335,136.42,7.50
"109年 (1~10月)/ 基隆市",2501,1444,1057,136.61,6.79
"109年 (1~10月)/ 新竹市",2168,1279,889,143.87,4.82
"109年 (1~10月)/ 嘉義市",1708,1005,703,142.96,6.40
"109年 (1~10月)/ 金門縣",638,351,287,122.30,4.55
"109年 (1~10月)/ 連江縣",62,36,26,138.46,4.73
"109年 1月/ 區域別總計",14673,8649,6024,143.58,0.62
"109年 1月/ 新北市",2068,1257,811,154.99,0.51
"109年 1月/ 臺北市",1479,824,655,125.80,0.56
"109年 1月/ 桃園市",1148,703,445,157.98,0.51
"109年 1月/ 臺中市",1507,913,594,153.70,0.54
"109年 1月/ 臺南市",1314,763,551,138.48,0.70
"109年 1月/ 高雄市",1845,1103,742,148.65,0.67
"109年 1月/ 宜蘭縣",336,192,144,133.33,0.74
"109年 1月/ 新竹縣",340,196,144,136.11,0.60
"109年 1月/ 苗栗縣",393,233,160,145.63,0.72
"109年 1月/ 彰化縣",854,473,381,124.15,0.67
"109年 1月/ 南投縣",372,211,161,131.06,0.75
"109年 1月/ 雲林縣",586,342,244,140.16,0.86
"109年 1月/ 嘉義縣",493,294,199,147.74,0.98
"109年 1月/ 屏東縣",685,396,289,137.02,0.84
"109年 1月/ 臺東縣",173,112,61,183.61,0.80
"109年 1月/ 花蓮縣",291,189,102,185.29,0.89
"109年 1月/ 澎湖縣",93,47,46,102.17,0.88
"109年 1月/ 基隆市",236,133,103,129.13,0.64
"109年 1月/ 新竹市",214,124,90,137.78,0.48
"109年 1月/ 嘉義市",176,102,74,137.84,0.66
"109年 1月/ 金門縣",64,37,27,137.04,0.46
"109年 1月/ 連江縣",6,5,1,500.00,0.46
"109年 2月/ 區域別總計",16211,9525,6686,142.46,0.69
"109年 2月/ 新北市",2259,1337,922,145.01,0.56
"109年 2月/ 臺北市",1611,903,708,127.54,0.61
"109年 2月/ 桃園市",1235,761,474,160.55,0.55
"109年 2月/ 臺中市",1590,942,648,145.37,0.56
"109年 2月/ 臺南市",1501,890,611,145.66,0.80
"109年 2月/ 高雄市",2051,1243,808,153.84,0.74
"109年 2月/ 宜蘭縣",337,202,135,149.63,0.74
"109年 2月/ 新竹縣",385,231,154,150.00,0.68
"109年 2月/ 苗栗縣",463,255,208,122.60,0.85
"109年 2月/ 彰化縣",969,567,402,141.04,0.76
"109年 2月/ 南投縣",467,260,207,125.60,0.95
"109年 2月/ 雲林縣",648,362,286,126.57,0.95
"109年 2月/ 嘉義縣",518,301,217,138.71,1.03
"109年 2月/ 屏東縣",756,454,302,150.33,0.92
"109年 2月/ 臺東縣",218,131,87,150.57,1.01
"109年 2月/ 花蓮縣",292,171,121,141.32,0.90
"109年 2月/ 澎湖縣",84,40,44,90.91,0.80
"109年 2月/ 基隆市",292,172,120,143.33,0.79
"109年 2月/ 新竹市",259,139,120,115.83,0.58
"109年 2月/ 嘉義市",188,116,72,161.11,0.70
"109年 2月/ 金門縣",83,46,37,124.32,0.59
"109年 2月/ 連江縣",5,2,3,66.67,0.38
"109年 3月/ 區域別總計",16083,9449,6634,142.43,0.68
"109年 3月/ 新北市",2256,1295,961,134.76,0.56
"109年 3月/ 臺北市",1601,910,691,131.69,0.61
"109年 3月/ 桃園市",1227,748,479,156.16,0.54
"109年 3月/ 臺中市",1663,977,686,142.42,0.59
"109年 3月/ 臺南市",1365,790,575,137.39,0.73
"109年 3月/ 高雄市",2038,1203,835,144.07,0.73
"109年 3月/ 宜蘭縣",355,208,147,141.50,0.78
"109年 3月/ 新竹縣",367,216,151,143.05,0.65
"109年 3月/ 苗栗縣",519,324,195,166.15,0.95
"109年 3月/ 彰化縣",976,590,386,152.85,0.77
"109年 3月/ 南投縣",446,270,176,153.41,0.90
"109年 3月/ 雲林縣",640,382,258,148.06,0.94
"109年 3月/ 嘉義縣",457,244,213,114.55,0.91
"109年 3月/ 屏東縣",774,483,291,165.98,0.95
"109年 3月/ 臺東縣",220,130,90,144.44,1.02
"109年 3月/ 花蓮縣",288,163,125,130.40,0.88
"109年 3月/ 澎湖縣",74,41,33,124.24,0.70
"109年 3月/ 基隆市",301,181,120,150.83,0.82
"109年 3月/ 新竹市",243,141,102,138.24,0.54
"109年 3月/ 嘉義市",194,116,78,148.72,0.73
"109年 3月/ 金門縣",68,30,38,78.95,0.49
"109年 3月/ 連江縣",11,7,4,175.00,0.84
"109年 4月/ 區域別總計",14423,8417,6006,140.14,0.61
"109年 4月/ 新北市",1987,1191,796,149.62,0.49
"109年 4月/ 臺北市",1493,801,692,115.75,0.57
"109年 4月/ 桃園市",1177,711,466,152.58,0.52
"109年 4月/ 臺中市",1481,894,587,152.30,0.53
"109年 4月/ 臺南市",1248,702,546,128.57,0.66
"109年 4月/ 高雄市",1706,982,724,135.64,0.62
"109年 4月/ 宜蘭縣",300,171,129,132.56,0.66
"109年 4月/ 新竹縣",335,214,121,176.86,0.59
"109年 4月/ 苗栗縣",425,243,182,133.52,0.78
"109年 4月/ 彰化縣",854,505,349,144.70,0.67
"109年 4月/ 南投縣",391,220,171,128.65,0.79
"109年 4月/ 雲林縣",640,379,261,145.21,0.94
"109年 4月/ 嘉義縣",436,254,182,139.56,0.87
"109年 4月/ 屏東縣",708,448,260,172.31,0.87
"109年 4月/ 臺東縣",202,120,82,146.34,0.93
"109年 4月/ 花蓮縣",264,149,115,129.57,0.81
"109年 4月/ 澎湖縣",78,50,28,178.57,0.74
"109年 4月/ 基隆市",243,139,104,133.65,0.66
